title,picture,author,synopsis,classement,language,genre,link_fanfic
Chains of Binding Crystal,/static/images/d_60_90.jpg,WixieMoon,"I'm horrible at summaries so please just read. maybe I'll put a summary later. I don't own Card Captures, I only own my OC's and I'm using the English names. it's K to be safe but honestly nothing bads really in it.",Rated: K+ , English , Angst/Hurt/Comfort ,/s/13745102/1/Chains-of-Binding-Crystal
Season's Change,/static/images/d_60_90.jpg,vifetoile89,"OR, a supervillain and a sidekick walk into a Denny's. Tomoyo calls Eriol out on his magical shenanigans. They strike a deal, and unintentionally grow closer, as fall turns into winter. E/T, high school AU, set during the Sakura Card arc. Complete!",Rated: K+ , English , Romance/Hurt/Comfort ,/s/13754430/1/Season-s-Change
A Blessing and a Curse,/static/images/d_60_90.jpg,A Blessing and a Curse,"2nd in the series. Sakura & Eriol go to Hong Kong to help Syaoran and his family, but the situation is more dangerous than they thought. Sakura realizes that being with Eriol is both a blessing and a curse. ",Rated: T , English , Romance/Friendship ,/s/13785606/1/A-Blessing-and-a-Curse
To Roads and New Beginnings,/static/images/d_60_90.jpg,Zoe1105,Syaoran and Sakura take much needed vacations in Spain after working hard on the soccer tournament. A companion to Score.,Rated: T , English , Romance ,/s/13786203/1/To-Roads-and-New-Beginnings
Perfect,/static/images/d_60_90.jpg,HD is not High Definition,"Tomoyo prides herself on being perfect. Beauty, wealth, intelligence... but of course, Eriol Hiiragizawa comes in and destroys her perfect foundation. It's on. ExT",Rated: K+ , English , Romance/Humor ,/s/13781925/1/Perfect
His Brightest Star,/static/images/d_60_90.jpg,Wawa101,"Sakura thought that after he left, she should move on. She accepted Syaoran's love confession and moved on with her life, or so she thought. But she knew she was lying to herself. Lucky for her, she had an online friend who could understand her. Oneshot. EriolxSakura. ",Rated: T , English , Romance/Drama ,/s/13774853/1/His-Brightest-Star
Sick Day,/static/images/d_60_90.jpg,Wawa101,Sakura is sick and Eriol takes care of her. Just a very short oneshot. Established ExS.,Rated: K , English , Romance ,/s/13767574/1/Sick-Day
Sakura and Her Blue Haired Boy,/static/images/d_60_90.jpg,Sakura and Her Blue Haired Boy,"1st in the series. Sakura and Eriol get closer and their friendship grows. But soon, Sakura realizes that her feelings for him have developed into something more. The question is, can she trust him? And more importantly, can she trust her own feelings? EriolxSakura. COMPLETE",Rated: K+ , English , Romance/Friendship ,/s/13710965/1/Sakura-and-Her-Blue-Haired-Boy
Sakura: Knight of the Clow,/static/images/d_60_90.jpg,Sakura: Knight of the Clow,Ace reporter Tomoyo seeks out the mystery defender of Tokyo.. the Knight of Clow!,Rated: T , English , Romance/Humor ,/s/1674107/1/Sakura-Knight-of-the-Clow
The kiss,/static/images/d_60_90.jpg,anna's-pen,Kissing Sakura Kinomoto had been his mind obsession for some weeks now. Little he knew that she had been wondering how it'd be to lock lips with him. ONESHOT. SXS.,Rated: K+ , English , Romance ,/s/13752274/1/The-kiss
Can I Say Goodbye,/static/images/d_60_90.jpg,Firalyn Tiatra,"What if Syaoran never made it back from Hong Kong? Correspondence dies off throughout the years, and Sakura finally feels she has to move on. Based more off of the manga, rated T for possibilities in later chapters.",Rated: T , English , Romance/Adventure ,/s/2502621/1/Can-I-Say-Goodbye
making exceptions,/static/images/d_60_90.jpg,pearltiare,"meiling li did not get sick. it just didn't happen- so how was she gonna explain to her girlfriend that she has a fever at 101 ? well, it seems tomoyo may have psychic abilities, since she's by her side as soon as school is out. meiling certainly wouldn't let anyone take care of her while she was sick, but she figured she could make an exception for tomoyo. lowercase intended",Rated: K , English , Romance ,/s/13745410/1/making-exceptions
loving is easy,/static/images/d_60_90.jpg,pearltiare,"tomoyo daidouji and meiling li had been through a lot together- heartbreak, magic, elementary school, and now junior high school. for meiling, it's easy to look at tomoyo and consider her a dear friend. but what'll happen when meiling realizes that she may feel more for tomoyo ? this fic is fully in lowercase, and there’s space in between punctuation. this is just how i like to wr",Rated: K , English , Romance ,/s/13745407/1/loving-is-easy
Cards of Tomorrow,/static/images/d_60_90.jpg,DestinySaku,"10 years have passed since all the cards have been changed to Sakura Cards and balance has been restored for years in Tomoeda. A lot of things have changed since she grew out of her magical teenage years, including her relationship with Syaoran. However with the sudden return of some familiar faces, she is forced to face many truths about herself and the relationships around her.",Rated: T , English , Romance/Drama ,/s/13640885/1/Cards-of-Tomorrow
The many shapes of love,/static/images/d_60_90.jpg,anna's-pen,"Love is a unique kind of magic. Think of it as a living being, once it is alive inside someone's heart it will continue to live as long as it is well taken care of. But since it is alive it wont remain static, it'll change and it'll change you. A collection of oneshots.",Rated: T , English , Romance/Fantasy ,/s/13727230/1/The-many-shapes-of-love
Mi amor no morirá,/static/images/d_60_90.jpg,Sakura H. Kinomoto,"Three-shot. Ultimo de la serie de Halloween. Aun en la tormenta más obscura, mi amor no morirá.",Rated: K+ , English , Romance/Hurt/Comfort ,/s/13734572/1/Mi-amor-no-morir%C3%A1
Pride and Prejudice andSakura,/static/images/d_60_90.jpg,Pride and Prejudice andSakura,"Nineteenth century, a time where manners, education, marriage, social prestige and money seemed to be what matters in certain circles of society. In here we meet, two persons living in different ends of the spectrum. A classic take of a Sakura and Syaoran romance.",Rated: K+ , English , Romance ,/s/13726693/1/Pride-and-Prejudice-andSakura
Wake up to Reality,/static/images/d_60_90.jpg,Wake up to Reality,(*DISCONTINUED*) There are 52 cards in a deck plus the jokers and there are 52 clow cards. What if there were 2 joker clow cards? What if they gave you the power to travel between dimensions? What if a huge cardcaptors fan traveled to Sakura's world? BASED ON ENG. ANIME!,Rated: T , English , Adventure/Romance ,/s/6582340/1/Wake-up-to-Reality
What if,/static/images/d_60_90.jpg,Millie333,"What if Sakura and co were attacked the start of episode 58? What if they were backed by a powerful person? What if Eriol had to show himself earlier than anticipated? How will things go from now on? *Not feeling 100%, so hope it turned out okay...",Rated: K+ , English , Chapters: 2 ,/s/13706489/1/What-if
It's Always Been You,/static/images/d_60_90.jpg,It's Always Been You,"""I've made the mistake by letting the tigers into my dungeon. Now, only you will be able to protect Sakura and help her claim her rightful place after I die,"" Kinomoto Fujitaka, the president of Asia's largest department chain stores, explains to Syaoran. With these words, he passes away 3 months later, making Syaoran the new president of Loel and the new guardian of Sakura. SxS",Rated: T , English , Romance/Drama ,/s/8884207/1/It-s-Always-Been-You
Catch You Catch Me- A CardCaptor's Wedding,/static/images/d_60_90.jpg,Catch You Catch Me- A CardCaptor's Wedding,Sakura is finally getting married to Syaoran. With Tomoyo as her Maid of Honor and Yukito as the Best Man it's all perfect. With just a little help from her friends and dad it will be the perfect day. Both are nervous but are ready to start a new adventure.,Rated: K , English , Romance/Humor ,/s/13694050/1/Catch-You-Catch-Me-A-CardCaptor-s-Wedding
Archangel,/static/images/d_60_90.jpg,TheFicChicks2,Mages fight an evil king in a conquered kingdom. When Sakura's dreams are shattared she teams up with a mercenary to bring peace back to the people. But dangerous persuers and secrets suround the two and puts thier mission and thier lives at risk. S&S,Rated: T , English , Adventure/Romance ,/s/5286169/1/Archangel
Syaoran Li eats too much cheddar,/static/images/d_60_90.jpg,Syaoran Li eats too much cheddar,I had big plans for this story but I got sidetracked. That explains why it is only 250 words.,Rated: K+ , English , Humor ,/s/13693262/1/Syaoran-Li-eats-too-much-cheddar
Score,/static/images/d_60_90.jpg,Zoe1105,"Syaoran Li, captain of the Tomoeda High School soccer team and, according to him, soon to be professional soccer player. He had everything. A good and loyal fandom, the perfect girlfriend, and an outstanding future in what he loved the most... soccer. Everything was right till he made a decision that would change his life completely.",Rated: T , English , Romance/Drama ,/s/10962040/1/Score
